# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 72, mean track length: 2
45 -3.3422530638559573 3.6547840019773048 36.006529591431764 87 78 67 0.40013796874858554 26 125 27 102
46 -2.9029483228740904 3.8445970229496691 35.982369711151087 160 141 126 0.01370151420775504 26 113 27 104
47 -2.8557070956376638 3.9410360434870846 35.964625260816888 147 130 114 0.8368885110007056 26 114 27 105
48 -2.9501415651260166 5.0749376260976335 35.892129030644874 188 167 148 0.84006935030052698 26 97 27 108
49 -2.9160811875702404 4.9634573743911288 35.893726906086982 111 91 80 0.40131392094782814 26 127 27 113
50 -2.1861838535839149 6.4508247393400886 36.797584821026227 169 104 82 1.0765509684113608 26 132 27 116
51 -1.6780009774355908 6.2710786290892981 36.630364022308449 189 134 114 2.1809120358004441 26 49 27 117
52 -7.1496168650472658 2.6590842018266212 35.659248514621311 41 34 25 0.067647539101763021 26 136 27 120
53 -3.6289582314004583 2.8546471346874807 35.95884608233591 72 65 55 0.95507402785905859 26 137 27 121
54 -1.8802080155283118 6.1536153683510522 36.401347754189736 167 117 112 0.37554672814458728 26 43 27 124
55 -1.8723936806856749 6.1732749895733585 36.528764390702996 167 117 112 0.80650170166589541 26 131 27 125
56 -1.7927418278220573 6.5513285067564544 36.648106066109918 156 101 80 0.28486840616040576 26 135 27 129
57 -2.7745131777968708 3.7912572238805762 35.979785601351566 96 77 62 0.28200656283611969 26 144 27 132
58 -3.9358941916357049 5.7156442925155853 35.699430314147925 70 69 65 0.53541758869801348 26 146 27 135
59 -3.9486806906855896 2.5599900552382069 35.945843873585744 47 44 37 1.0806911873063203 26 149 27 137
60 -2.7588664135614303 3.4997446932986933 35.990943407586535 203 183 170 0.14940136786628813 26 150 27 139
61 -3.8370724250841102 5.2849846040600044 35.796525393460733 63 60 51 0.99371630607558603 26 145 27 140
62 -3.5651022815112792 3.5012020891961759 36.0076593035242 40 37 28 0.41028731345600805 26 153 27 143
63 -4.1728750821356426 5.45683562557491 35.761762196511825 71 69 65 1.2945375667034102 26 151 27 144
64 -4.200768910427862 5.7051584673960187 35.465602820683408 28 24 21 0.63596817158818175 26 155 27 145
65 -3.2874358028950068 7.0179194157487697 36.903022250337777 114 55 49 1.0051621059563174 26 159 27 148
66 -2.8721652638722639 3.8678563335301286 35.938686099182341 144 125 110 0.49137474614898302 26 160 27 150
67 -6.804579876254806 5.5529727206430524 35.137218340843738 37 36 35 0.070661722306033653 26 161 27 151
68 -4.2668265040445315 5.7461588916046331 35.479078392464558 27 24 19 0.4797941293881357 26 162 27 152
69 -6.7639099103290716 5.8852053814569745 35.094729834554059 66 70 69 0.15486346477727064 26 163 27 153
70 -4.1032675323237919 6.0081090082840989 35.576643552871005 56 57 52 1.3145063137252986 26 166 27 154
71 -2.4166433505278144 6.3195104601222374 36.763459042333544 178 113 91 3.1541278784441373 26 167 27 155
72 -1.843379697507183 6.2944513552060384 36.565262383787605 180 119 101 0.29047564116397701 26 165 27 156
