item_id,object_label,view,path,filename,bytes,codec,pixel_format,width,height,rotation_degrees,fps,duration_seconds,frame_count
item_008,脚凳,interaction,item_008/item_008_脚凳交互视频.MOV,item_008_脚凳交互视频.MOV,17003896,h264,yuv420p,1920,1080,0,59.931701764371084,5.856667,351
item_008,脚凳,appearance,item_008/item_008_脚凳外观视频.MOV,item_008_脚凳外观视频.MOV,108663918,h264,yuv420p,1920,1080,0,59.92832858586787,36.276667,2174
item_009,边桌,interaction,item_009/item_009_边桌交互视频.MOV,item_009_边桌交互视频.MOV,12126911,h264,yuv420p,1920,1080,0,59.97469422184732,3.95,237
item_009,边桌,appearance,item_009/item_009_边桌外观视频.MOV,item_009_边桌外观视频.MOV,95931805,h264,yuv420p,1920,1080,0,59.92836006852515,32.105,1924
item_010,水果刀,interaction,item_010/item_010_水果刀交互视频.MOV,item_010_水果刀交互视频.MOV,34943701,h264,yuvj420p,1920,1080,0,23.976023976023978,10.76075,258
item_010,水果刀,appearance,item_010/item_010_水果刀外观视频.MOV,item_010_水果刀外观视频.MOV,42184520,h264,yuvj420p,1920,1080,0,23.976023976023978,12.76275,306
item_011,床头桌,interaction,item_011/item_011_床头桌交互视频.MOV,item_011_床头桌交互视频.MOV,16218649,h264,yuv420p,1920,1080,-90,59.98137224464452,5.368333,322
item_011,床头桌,appearance,item_011/item_011_床头桌外观视频.MOV,item_011_床头桌外观视频.MOV,70494548,h264,yuv420p,1920,1080,90,59.94061085972851,23.571667,1413
item_012,六斗抽屉柜,interaction,item_012/item_012_六斗抽屉柜交互视频.MOV,item_012_六斗抽屉柜交互视频.MOV,40368068,h264,yuv420p,1920,1080,0,59.926017262638716,13.515,810
item_012,六斗抽屉柜,appearance,item_012/item_012_六斗抽屉柜外观视频.MOV,item_012_六斗抽屉柜外观视频.MOV,100152917,h264,yuv420p,1920,1080,0,59.92844364937388,33.538333,2010
item_013,面包机,interaction,item_013/item_013_面包机交互视频.MP4,item_013_面包机交互视频.MP4,49699604,h264,yuvj420p,1920,1080,0,23.976023976023978,14.889875,357
item_013,面包机,appearance,item_013/item_013_面包机外观视频.MOV,item_013_面包机外观视频.MOV,102405463,h264,yuvj420p,1920,1080,0,23.976023976023978,30.28025,726
item_014,微波炉,interaction,item_014/item_014_微波炉交互视频.MOV,item_014_微波炉交互视频.MOV,47759775,h264,yuv420p,1920,1080,0,59.974984365228266,15.99,959
item_014,微波炉,appearance,item_014/item_014_微波炉外观视频.MOV,item_014_微波炉外观视频.MOV,80605465,h264,yuv420p,1920,1080,0,59.94439295644115,26.975,1617
item_015,电饭煲,interaction,item_015/item_015_电饭煲交互视频.MOV,item_015_电饭煲交互视频.MOV,23446492,h264,yuvj420p,1920,1080,0,23.976023976023978,7.007,168
item_015,电饭煲,appearance,item_015/item_015_电饭煲外观视频.MOV,item_015_电饭煲外观视频.MOV,45948593,h264,yuvj420p,1920,1080,0,23.976023976023978,13.138125,315
item_016,空气炸锅,interaction,item_016/item_016_空气炸锅交互视频.MP4,item_016_空气炸锅交互视频.MP4,37242032,h264,yuvj420p,1920,1080,0,23.976023976023978,11.136125,267
item_016,空气炸锅,appearance,item_016/item_016_空气炸锅外观视频.MP4,item_016_空气炸锅外观视频.MP4,51294549,h264,yuvj420p,1920,1080,0,23.976023976023978,15.015,360
item_017,电热水壶,interaction,item_017/item_017_电热水壶交互视频.MOV,item_017_电热水壶交互视频.MOV,69134553,h264,yuvj420p,1920,1080,0,23.976023976023978,21.396375,513
item_017,电热水壶,appearance,item_017/item_017_电热水壶外观视频.MOV,item_017_电热水壶外观视频.MOV,23759170,h264,yuvj420p,1920,1080,0,23.976023976023978,7.882875,189
item_018,笔记本电脑（thinkpad）,interaction,item_018/item_018_笔记本电脑（thinkpad）交互视频.MOV,item_018_笔记本电脑（thinkpad）交互视频.MOV,55746920,h264,yuvj420p,1920,1080,0,23.976023976023978,15.640625,375
item_018,笔记本电脑（thinkpad）,appearance,item_018/item_018_笔记本电脑（thinkpad）外观视频.MOV,item_018_笔记本电脑（thinkpad）外观视频.MOV,48779649,h264,yuvj420p,1920,1080,0,23.976023976023978,13.76375,330
item_019,鼠标,interaction,item_019/item_019_鼠标交互视频.MOV,item_019_鼠标交互视频.MOV,40660077,h264,yuvj420p,1920,1080,0,23.976023976023978,12.637625,303
item_019,鼠标,appearance,item_019/item_019_鼠标外观视频.MOV,item_019_鼠标外观视频.MOV,37413466,h264,yuvj420p,1920,1080,0,23.976023976023978,10.5105,252
item_020,显示器,interaction,item_020/item_020_显示器交互视频.MOV,item_020_显示器交互视频.MOV,28328700,h264,yuvj420p,1920,1080,0,23.976023976023978,7.632625,183
item_020,显示器,appearance,item_020/item_020_显示器外观视频.MOV,item_020_显示器外观视频.MOV,219602231,h264,yuvj420p,1920,1080,0,23.976023976023978,65.81575,1578
item_021,抽纸,interaction,item_021/item_021_抽纸交互视频.MOV,item_021_抽纸交互视频.MOV,22965472,h264,yuvj420p,1920,1080,0,23.976023976023978,6.881875,165
item_021,抽纸,appearance,item_021/item_021_抽纸外观视频-1.MOV,item_021_抽纸外观视频-1.MOV,38922998,h264,yuvj420p,1920,1080,0,23.976023976023978,12.012,288
item_021,抽纸,appearance,item_021/item_021_抽纸外观视频-2.MOV,item_021_抽纸外观视频-2.MOV,41753808,h264,yuvj420p,1920,1080,0,23.976023976023978,12.26225,294
item_022,卷纸,interaction,item_022/item_022_卷纸交互视频.MOV,item_022_卷纸交互视频.MOV,31033835,h264,yuvj420p,1920,1080,0,23.976023976023978,9.5095,228
item_022,卷纸,appearance,item_022/item_022_卷纸外观视频.MOV,item_022_卷纸外观视频.MOV,50954143,h264,yuvj420p,1920,1080,0,23.976023976023978,15.390375,369
item_023,马克杯,interaction,item_023/item_023_马克杯交互视频.mp4,item_023_马克杯交互视频.mp4,1150606,hevc,yuv420p,1280,720,0,30.0,6.1,183
item_023,马克杯,appearance,item_023/item_023_马克杯外观视频.mp4,item_023_马克杯外观视频.mp4,730528,hevc,yuv420p,1280,720,0,30.0,7.0,210
item_024,垃圾桶,interaction,item_024/item_024_垃圾桶交互视频.MOV,item_024_垃圾桶交互视频.MOV,64138810,h264,yuvj420p,1920,1080,0,23.976023976023978,19.019,456
item_024,垃圾桶,appearance,item_024/item_024_垃圾桶外观视频.MOV,item_024_垃圾桶外观视频.MOV,46479834,h264,yuvj420p,1920,1080,0,23.976023976023978,13.76375,330
item_025,薯片袋,interaction,item_025/item_025_薯片袋交互视频.MOV,item_025_薯片袋交互视频.MOV,28596301,h264,yuvj420p,1920,1080,0,23.976023976023978,8.5085,204
item_025,薯片袋,appearance,item_025/item_025_薯片袋外观视频.MOV,item_025_薯片袋外观视频.MOV,37040460,h264,yuvj420p,1920,1080,0,23.976023976023978,11.136125,267
item_026,罐装薯片,interaction,item_026/item_026_罐装薯片交互视频.MOV,item_026_罐装薯片交互视频.MOV,53996026,h264,yuvj420p,1920,1080,0,23.976023976023978,16.016,384
item_026,罐装薯片,appearance,item_026/item_026_罐装薯片外观视频.MOV,item_026_罐装薯片外观视频.MOV,40649073,h264,yuvj420p,1920,1080,0,23.976023976023978,11.886875,285
item_027,酸菜鱼调味料,interaction,item_027/item_027_酸菜鱼调味料交互视频.MOV,item_027_酸菜鱼调味料交互视频.MOV,50153676,h264,yuvj420p,1920,1080,0,23.976023976023978,14.5145,348
item_027,酸菜鱼调味料,appearance,item_027/item_027_酸菜鱼调味料外观视频 -2.MOV,item_027_酸菜鱼调味料外观视频 -2.MOV,39463033,h264,yuvj420p,1920,1080,0,23.976023976023978,11.136125,267
item_027,酸菜鱼调味料,appearance,item_027/item_027_酸菜鱼调味料外观视频-1.MOV,item_027_酸菜鱼调味料外观视频-1.MOV,31371430,h264,yuvj420p,1920,1080,0,23.976023976023978,9.634625,231
item_028,锅铲,interaction,item_028/item_028_锅铲交互视频.MOV,item_028_锅铲交互视频.MOV,38729941,h264,yuvj420p,1920,1080,0,23.976023976023978,10.885875,261
item_028,锅铲,appearance,item_028/item_028_锅铲外观视频.MOV,item_028_锅铲外观视频.MOV,34138184,h264,yuvj420p,1920,1080,0,23.976023976023978,9.634625,231
item_029,木碗,interaction,item_029/item_029_木碗交互视频.MOV,item_029_木碗交互视频.MOV,49674387,h264,yuvj420p,1920,1080,0,23.976023976023978,14.889875,357
item_029,木碗,appearance,item_029/item_029_木碗外观视频.MOV,item_029_木碗外观视频.MOV,31891649,h264,yuvj420p,1920,1080,0,23.976023976023978,9.134125,219
item_030,木质兔子盘子,interaction,item_030/item_030_木质兔子盘子交互视频.MOV,item_030_木质兔子盘子交互视频.MOV,34356869,h264,yuvj420p,1920,1080,0,23.976023976023978,10.385375,249
item_030,木质兔子盘子,appearance,item_030/item_030_木质兔子盘子外观视频.MOV,item_030_木质兔子盘子外观视频.MOV,39073923,h264,yuvj420p,1920,1080,0,23.976023976023978,10.76075,258
item_031,砧板,interaction,item_031/item_031_砧板交互视频.MOV,item_031_砧板交互视频.MOV,29627329,h264,yuvj420p,1920,1080,0,23.976023976023978,8.75875,210
item_031,砧板,appearance,item_031/item_031_砧板外观视频.MOV,item_031_砧板外观视频.MOV,42826722,h264,yuvj420p,1920,1080,0,23.976023976023978,12.26225,294
item_032,炒锅,interaction,item_032/item_032_炒锅交互视频.MOV,item_032_炒锅交互视频.MOV,49883054,h264,yuvj420p,1920,1080,0,23.976023976023978,14.26425,342
item_032,炒锅,appearance,item_032/item_032_炒锅外观视频.MOV,item_032_炒锅外观视频.MOV,55686660,h264,yuvj420p,1920,1080,0,23.976023976023978,16.5165,396
item_033,茶水间内部环境,appearance,item_033/item_033_茶水间内部环境外观视频.mp4,item_033_茶水间内部环境外观视频.mp4,2474763,hevc,yuv420p,544,960,0,30.0,19.433333,583
item_033,茶水间外部环境,interaction,item_033/item_033_茶水间外部环境交互视频.mp4,item_033_茶水间外部环境交互视频.mp4,9448916,hevc,yuv420p,720,1280,0,30.0,55.033333,1651
item_033,茶水间外部环境,appearance,item_033/item_033_茶水间外部环境外观视频.mp4,item_033_茶水间外部环境外观视频.mp4,3906405,hevc,yuv420p,720,1280,0,30.0,21.5,645
item_033,茶水间里部环境,interaction,item_033/item_033_茶水间里部环境交互视频.mp4,item_033_茶水间里部环境交互视频.mp4,4996327,hevc,yuv420p,720,1280,0,30.0,31.966667,959
item_034,办公室环境,interaction,item_034/item_034_办公室环境交互视频.MOV,item_034_办公室环境交互视频.MOV,270442940,h264,yuv420p,1920,1080,-90,59.941277491551716,90.253333,5410
item_034,办公室环境,appearance,item_034/item_034_办公室环境外观视频.MOV,item_034_办公室环境外观视频.MOV,107211100,h264,yuv420p,1920,1080,-90,59.9415340355436,35.916667,2153
